CityDistrictID,CityDistrictName,ProvinceID
263,Hồng Lĩnh,25
264,Hương Khê,25
265,Hương Sơn,25
266,Kỳ Anh,25
267,Kỳ Anh,25
268,Lộc Hà,25
269,Nghi Xuân,25
270,Thạch Hà,25
271,Vũ Quang,25
272,Bình Giang,26
273,Cẩm Giàng,26
274,Chí Linh,26
275,Gia Lộc,26
276,Hải Dương,26
277,Kim Thành,26
278,Kinh Môn,26
279,Nam Sách,26
280,Ninh Giang,26
281,Thanh Hà,26
282,Thanh Miện,26
283,Tứ Kỳ,26
284,An Dương,27
285,An Lão,27
286,Bạch Long Vĩ,27
287,Cát Hải,27
288,Đồ Sơn,27
289,Dương Kinh,27
290,Hải An,27
291,Hồng Bàng,27
292,Kiến An,27
293,Kiến Thụy,27
294,Lê Chân,27
295,Ngô Quyền,27
296,Thủy Nguyên,27
297,Tiên Lãng,27
298,Vĩnh Bảo,27
299,Châu Thành,28
300,Châu Thành A,28
301,Long Mỹ,28
302,Long Mỹ,28
303,Ngã Bảy,28
304,Phụng Hiệp,28
305,Vị Thanh,28
306,Vị Thủy,28
307,Cao Phong,29
308,Đà Bắc,29
309,Hòa Bình,29
310,Kim Bôi,29
311,Lạc Sơn,29
312,Lạc Thủy,29
313,Lương Sơn,29
314,Mai Châu,29
315,Tân Lạc,29
316,Yên Thủy,29
317,Ân Thi,30
318,Hưng Yên,30
319,Khoái Châu,30
320,Kim Động,30
321,Mỹ Hào,30
322,Phù Cừ,30
323,Tiên Lữ,30
324,Văn Giang,30
325,Văn Lâm,30
326,Yên Mỹ,30
327,Cam Lâm,31
328,Cam Ranh,31
329,Diên Khánh,31
330,Khánh Sơn,31
331,Khánh Vĩnh,31
332,Nha Trang,31
333,Ninh Hòa,31
334,Trường Sa,31
335,Vạn Ninh,31
336,An Biên,32
337,An Minh,32
338,Châu Thành,32
339,Giang Thành,32
340,Giồng Riềng,32
341,Gò Quao,32
342,Hà Tiên,32
343,Hòn Đất,32
344,Kiên Hải,32
345,Kiên Lương,32
346,Phú Quốc,32
347,Rạch Giá,32
348,Tân Hiệp,32
349,U Minh Thượng,32
350,Vĩnh Thuận,32
351,Đăk Glei,33
352,Đăk Hà,33
353,Đăk Tô,33
354,Ia H'Drai,33
355,Kon Plông,33
356,Kon Rẫy,33
357,Kon Tum,33
358,Ngọc Hồi,33
359,Sa Thầy,33
360,Tu Mơ Rông,33
361,Lai Châu,34
362,Mường Tè,34
363,Nậm Nhùn,34
364,Phong Thổ,34
365,Sìn Hồ,34
366,Tam Đường,34
367,Tân Uyên,34
368,Than Uyên,34
369,Bắc Sơn,36
370,Bình Gia,36
371,Cao Lộc,36
372,Chi Lăng,36
373,Đình Lập,36
374,Hữu Lũng,36
375,Lạng Sơn,36
376,Lộc Bình,36
377,Tràng Định,36
378,Văn Lãng,36
379,Văn Quan,36
380,Bắc Hà,37
381,Bảo Thắng,37
382,Bảo Yên,37
383,Bát Xát,37
384,Lào Cai,37
385,Mường Khương,37
386,Sa Pa,37
387,Si Ma Cai,37
388,Văn Bàn,37
389,Bảo Lâm,35
390,Bảo Lộc,35
391,Cát Tiên,35
392,Đạ Huoai,35
393,Đà Lạt,35
394,Đạ Tẻh,35
395,Đam Rông,35
396,Di Linh,35
397,Đơn Dương,35
398,Đức Trọng,35
399,Lạc Dương,35
400,Lâm Hà,35
401,Bến Lức,38
402,Cần Đước,38
403,Cần Giuộc,38
404,Châu Thành,38
405,Đức Hòa,38
406,Đức Huệ,38
407,Kiến Tường,38
408,Mộc Hóa,38
409,Tân An,38
410,Tân Hưng,38
411,Tân Thạnh,38
412,Tân Trụ,38
413,Thạnh Hóa,38
414,Thủ Thừa,38
415,Vĩnh Hưng,38
416,Giao Thủy,39
417,Hải Hậu,39
418,Mỹ Lộc,39
419,Nam Định,39
420,Nam Trực,39
421,Nghĩa Hưng,39
422,Trực Ninh,39
423,Vụ Bản,39
424,Xuân Trường,39
425,Ý Yên,39
426,Anh Sơn,40
427,Con Cuông,40
428,Cửa Lò,40
429,Diễn Châu,40
430,Đô Lương,40
431,Hoàng Mai,40
432,Hưng Nguyên,40
433,Kỳ Sơn,40
434,Nam Đàn,40
435,Nghi Lộc,40
436,Nghĩa Đàn,40
437,Quế Phong,40
438,Quỳ Châu,40
439,Quỳ Hợp,40
440,Quỳnh Lưu,40
441,Tân Kỳ,40
442,Thái Hòa,40
443,Thanh Chương,40
444,Tương Dương,40
445,Vinh,40
446,Yên Thành,40
447,Gia Viễn,41
448,Hoa Lư,41
449,Kim Sơn,41
450,Nho Quan,41
451,Ninh Bình,41
452,Tam Điệp,41
453,Yên Khánh,41
454,Yên Mô,41
455,Bác Ái,42
456,Ninh Hải,42
457,Ninh Phước,42
458,Ninh Sơn,42
459,Phan Rang – Tháp Chàm,42
460,Thuận Bắc,42
461,Thuận Nam,42
462,Cẩm Khê,43
463,Đoan Hùng,43
464,Hạ Hòa,43
465,Lâm Thao,43
466,Phù Ninh,43
467,Phú Thọ,43
468,Tam Nông,43
469,Tân Sơn,43
470,Thanh Ba,43
471,Thanh Sơn,43
472,Thanh Thủy,43
473,Việt Trì,43
474,Yên Lập,43
475,Đông Hòa,44
476,Đồng Xuân,44
477,Phú Hòa,44
478,Sơn Hòa,44
479,Sông Cầu,44
480,Sông Hinh,44
481,Tây Hòa,44
482,Tuy An,44
483,Tuy Hòa,44
484,Ba Đồn,45
485,Bố Trạch,45
486,Đồng Hới,45
487,Lệ Thủy,45
488,Minh Hóa,45
489,Quảng Ninh,45
490,Quảng Trạch,45
491,Tuyên Hóa,45
492,Bắc Trà My,46
493,Đại Lộc,46
494,Điện Bàn,46
495,Đông Giang,46
496,Duy Xuyên,46
497,Hiệp Đức,46
498,Hội An,46
499,Nam Giang,46
500,Nam Trà My,46
501,Nông Sơn,46
502,Núi Thành,46
503,Phú Ninh,46
504,Phước Sơn,46
505,Quế Sơn,46
506,Tam Kỳ,46
507,Tây Giang,46
508,Thăng Bình,46
509,Tiên Phước,46
510,Ba Tơ,47
511,Bình Sơn,47
512,Đức Phổ,47
513,Lý Sơn,47
514,Minh Long,47
515,Mộ Đức,47
516,Nghĩa Hành,47
517,Quảng Ngãi,47
518,Sơn Hà,47
519,Sơn Tây,47
520,Sơn Tịnh,47
521,Trà Bồng,47
522,Tư Nghĩa,47
523,Ba Chẽ,48
524,Bình Liêu,48
525,Cẩm Phả,48
526,Cô Tô,48
527,Đầm Hà,48
528,Đông Triều,48
529,Hạ Long,48
530,Hải Hà,48
531,Móng Cái,48
532,Quảng Yên,48
533,Tiên Yên,48
534,Uông Bí,48
535,Vân Đồn,48
536,Cam Lộ,49
537,Cồn Cỏ,49
538,Đakrông,49
539,Đông Hà,49
540,Gio Linh,49
541,Hải Lăng,49
542,Hướng Hóa,49
543,Quảng Trị,49
544,Triệu Phong,49
545,Vĩnh Linh,49
546,Châu Thành,50
547,Cù Lao Dung,50
548,Kế Sách,50
549,Long Phú,50
550,Mỹ Tú,50
551,Mỹ Xuyên,50
552,Ngã Năm,50
553,Sóc Trăng,50
554,Thạnh Trị,50
555,Trần Đề,50
556,Vĩnh Châu,50
557,Bắc Yên,51
558,Mai Sơn,51
559,Mộc Châu,51
560,Mường La,51
561,Phù Yên,51
562,Quỳnh Nhai,51
563,Sơn La,51
564,Sông Mã,51
565,Sốp Cộp,51
566,Thuận Châu,51
567,Vân Hồ,51
568,Yên Châu,51
569,Bến Cầu,52
570,Châu Thành,52
571,Dương Minh Châu,52
572,Gò Dầu,52
573,Hòa Thành,52
574,Tân Biên,52
575,Tân Châu,52
576,Tây Ninh,52
577,Trảng Bàng,52
578,Đông Hưng,53
579,Hưng Hà,53
580,Kiến Xương,53
581,Quỳnh Phụ,53
582,Thái Bình,53
583,Thái Thụy,53
584,Tiền Hải,53
585,Vũ Thư,53
586,Đại Từ,54
587,Định Hóa,54
588,Đồng Hỷ,54
589,Phổ Yên,54
590,Phú Bình,54
591,Phú Lương,54
592,Sông Công,54
593,Thái Nguyên,54
594,Võ Nhai,54
595,Bá Thước,55
596,Bỉm Sơn,55
597,Cẩm Thủy,55
598,Đông Sơn,55
599,Hà Trung,55
600,Hậu Lộc,55
601,Hoằng Hóa,55
602,Lang Chánh,55
603,Mường Lát,55
604,Nga Sơn,55
605,Nghi Sơn,55
606,Ngọc Lặc,55
607,Như Thanh,55
608,Như Xuân,55
609,Nông Cống,55
610,Quan Hóa,55
611,Quan Sơn,55
612,Quảng Xương,55
613,Sầm Sơn,55
614,Thạch Thành,55
615,Thanh Hóa,55
616,Thiệu Hóa,55
617,Thọ Xuân,55
618,Thường Xuân,55
619,Triệu Sơn,55
620,Vĩnh Lộc,55
621,Yên Định,55
622,Bình Chánh,58
623,Bình Tân,58
624,Bình Thạnh,58
625,Cần Giờ,58
626,Củ Chi,58
627,Gò Vấp,58
628,Hóc Môn,58
629,Nhà Bè,58
630,Phú Nhuận,58
631,Quận 1,58
632,Quận 3,58
633,Quận 4,58
634,Quận 5,58
635,Quận 6,58
636,Quận 7,58
637,Quận 8,58
638,Quận 10,58
639,Quận 11,58
640,Quận 12,58
641,Tân Bình,58
642,Tân Phú,58
643,Thủ Đức,58
644,A Lưới,56
645,Huế,56
646,Hương Thủy,56
647,Hương Trà,56
648,Nam Đông,56
649,Phong Điền,56
650,Phú Lộc,56
651,Phú Vang,56
652,Quảng Điền,56
653,Cái Bè,57
654,Cai Lậy,57
655,Cai Lậy,57
656,Châu Thành,57
